GlobalId,LongName,Level,Area,,
3GpDz2ghn1NueIgvKP3xMk,SHARED OFFICE 38P,Level 11,259.38,,
0IH4H9GNr7w98gsSrdx54E,SHARED OFFICE 38P,Level 11,253.65,,
2ntLcF1$98DQcsKvq8abO_,SHARED OFFICE 38P,Level 12,243.77,,
2ntLcF1$98DQcsKvq8aYxh,SHARED OFFICE 38P,Level 13,259.42,,
2ntLcF1$98DQcsKvq8ad_h,SHARED OFFICE 38P,Level 14,258.21,,
2ntLcF1$98DQcsKvq8adCV,SHARED OFFICE 38P,Level 15,485.05,,
2ntLcF1$98DQcsKvq8adCB,SHARED OFFICE 38P,Level 15,246.74,,
2ntLcF1$98DQcsKvq8acGn,SHARED OFFICE 38P,Level 16,262.11,,
2ntLcF1$98DQcsKvq8afUK,SHARED OFFICE 38P,Level 17,258.25,,
2ntLcF1$98DQcsKvq8aeV4,SHARED OFFICE 38P,Level 18,261.95,,
2ntLcF1$98DQcsKvq8ahK2,SHARED OFFICE 38P,Level 19,261.21,,
2ntLcF1$98DQcsKvq8agwf,SHARED OFFICE 38P,Level 19,263.65,,
2ntLcF1$98DQcsKvq8aajH,SHARED OFFICE 38P,Level 20,243.77,,
2ntLcF1$98DQcsKvq8aZW9,SHARED OFFICE 38P,Level 21,259.42,,
30FLBZwDb7OvlNxjspRFdG,SHARED OFFICE 38P,Level 4,243.77,,
0r4MQOxYzBNhcZoTCY2XHy,SHARED OFFICE 38P,Level 5,259.42,,
2maVW5Fa11n9pwdQjvDHjT,SHARED OFFICE 38P,Level 6,258.21,,
2maVW5Fa11n9pwdQjvDHn2,SHARED OFFICE 38P,Level 7,247.45,,
2maVW5Fa11n9pwdQjvDHsk,SHARED OFFICE 38P,Level 7,246.75,,
2maVW5Fa11n9pwdQjvDG3G,SHARED OFFICE 38P,Level 8,262.11,,
2maVW5Fa11n9pwdQjvDGP3,SHARED OFFICE 38P,Level 9,258.25,,
1EuDmbT5v3cO5FvhX81EDH,AUDITORIUM 1,Level 1,121.32,,
2B2JpFTTLE8O7amgwh7hU2,AUDITORIUM 1,Level 2,243.11,,
1EuDmbT5v3cO5FvhX81EDL,AUDITORIUM 2,Level 1,121.32,,
